age,workclass,education,marital-status,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
adult,Private,AfterHS,Never-married,Prof-specialty,White,Female,no,no,full-time,United-States,<=50K
senior,Private,AfterHS,Not-married,Other,White,Female,no,no,full-time,United-States,<=50K
adult,Private,BeforeHS,Never-married,ManualWork,White,Male,no,no,part-time,United-States,<=50K
young,Private,GrD,Never-married,Sales,White,Female,no,no,part-time,United-States,<=50K
senior,Self-employed,GrD,Married,Sales,White,Male,yes,no,over-time,United-States,>50K
young,Private,BeforeHS,Never-married,Other,White,Male,no,yes,part-time,United-States,<=50K
senior,Private,AfterHS,Never-married,Sales,White,Male,no,no,over-time,United-States,>50K
senior,gov,UGrD,Married,Prof-specialty,White,Female,yes,no,part-time,United-States,>50K
adult,Private,GrD,Married,Prof-specialty,White,Male,no,no,over-time,United-States,<=50K
adult,Self-employed,HS-grad,Married,Exec-managerial,White,Male,no,no,over-time,United-States,>50K
young,Private,HS-grad,Never-married,Prof-specialty,White,Male,no,no,part-time,United-States,<=50K
adult,gov,GrD,Married,Prof-specialty,White,Female,no,no,part-time,United-States,>50K
senior,gov,AfterHS,Married,Exec-managerial,White,Male,yes,no,part-time,United-States,>50K
young,Private,UGrD,Never-married,Exec-managerial,White,Female,no,no,full-time,United-States,<=50K
adult,gov,UGrD,Married,Other,Asian-Pac-Islander,Male,no,no,full-time,other,>50K
young,Private,BeforeHS,Never-married,ManualWork,White,Male,no,no,full-time,other,<=50K
adult,Private,UGrD,Never-married,Exec-managerial,White,Female,no,no,over-time,United-States,>50K
adult,Private,AfterHS,Married,ManualWork,White,Male,no,no,over-time,United-States,<=50K
adult,Private,AfterHS,Married,Exec-managerial,White,Male,no,no,over-time,United-States,>50K
adult,gov,AfterHS,Married,ManualWork,White,Male,no,no,full-time,United-States,>50K
adult,Private,AfterHS,Never-married,Other,White,Female,no,no,full-time,United-States,<=50K
adult,Private,HS-grad,Not-married,ManualWork,Black,Male,no,no,part-time,United-States,<=50K
senior,Private,HS-grad,Not-married,ManualWork,White,Male,no,no,full-time,United-States,>50K
senior,Private,UGrD,Not-married,Sales,White,Male,yes,no,full-time,United-States,>50K
adult,Private,GrD,Never-married,Other,White,Male,no,no,part-time,United-States,<=50K
old,Self-employed,UGrD,Married,Sales,White,Male,no,no,part-time,United-States,>50K
senior,Private,AfterHS,Married,ManualWork,White,Male,no,no,full-time,other,<=50K
senior,Private,HS-grad,Married,ManualWork,White,Female,no,no,full-time,United-States,>50K
adult,Self-employed,HS-grad,Married,ManualWork,White,Male,no,no,over-time,United-States,<=50K
adult,Private,UGrD,Married,Exec-managerial,White,Male,no,no,full-time,United-States,>50K
adult,Private,HS-grad,Not-married,ManualWork,White,Female,no,no,full-time,United-States,<=50K
senior,Self-employed,HS-grad,Not-married,ManualWork,White,Male,no,no,over-time,United-States,>50K
senior,Self-employed,AfterHS,Married,Prof-specialty,White,Male,yes,no,over-time,United-States,>50K
young,Private,AfterHS,Never-married,Exec-managerial,White,Female,yes,no,full-time,United-States,<=50K
adult,Private,AfterHS,Never-married,Exec-managerial,Black,Female,no,no,full-time,United-States,<=50K
adult,Private,AfterHS,Married,Other,White,Male,no,no,full-time,United-States,<=50K
adult,Private,HS-grad,Married,Other,White,Female,no,no,part-time,United-States,<=50K
adult,Private,AfterHS,Married,ManualWork,White,Female,no,no,over-time,United-States,<=50K
adult,gov,GrD,Married,Prof-specialty,White,Female,no,yes,part-time,United-States,>50K
